Hraunbær	Hraunbær	nken-s
105	105	ta
.	.	pl

Kl.	kl.	ks
9	9	ta
handavinna	handavinna	nven
,	,	pk
útskurður	útskurður	nken
,	,	pk
fótaaðgerð	fótaaðgerð	nven
og	og	c
hárgreiðsla	hárgreiðsla	nven
.	.	pl

Fræðslu-	fræðslufundur	kt
og	og	c
kynningarfundur	kynningarfundur	nken
kl.	kl.	ks
14	14	ta
.	.	pl

Dagskrá	dagskrá	nven
:	:	pa
Lyf	lyf	nhfn
og	og	c
inntaka	inntaka	nven
þeirra	það	fphfe
.	.	pl

-	-	pa
Beinþynning	beinþynning	nven
.	.	pl

Lyfja-	lyfjafræðingur	kt
og	og	c
hjúkrunarfræðingar	hjúkrunarfræðingur	nkfn
annast	anna	sfm3fn
fræðsluna	fræðsla	nveog
á	á	aa
eftir	eftir	aa
verður	verða	sfg3en
boðið	bjóða	sþghen
upp	upp	aa
á	á	af
beinþéttnimælingu	beinþéttnimæling	nveo
,	,	pk
fólk	fólk	nhen
er	vera	sfg3en
hvatt	hvetja	sþghen
til	til	af
að	að	cn
mæta	mæta	sng
.	.	pl

Kaffi	kaffi	nhen
og	og	c
meðlæti	meðlæti	nhen
verður	verða	sfg3en
á	á	af
boðstólum	boðstólar	nkfþ
.	.	pl

Allir	allur	fokfn
velkomnir	velkominn	lkfnsf
.	.	pl

Hvassaleiti	Hvassaleiti	nheþ-s
56-58	56-58	ta
.	.	pl

Kl.	kl.	ks
9	9	ta
böðun	böðun	nven
,	,	pk
Kl.	kl.	ks
10	10	ta
mæðramorgunn	mæðramorgunn	nken
,	,	pk
Fótaaðgerð	fótaaðgerð	nven
,	,	pk
hársnyrting	hársnyrting	nven
.	.	pl

Allir	allur	fokfn
velkomnir	velkominn	lkfnsf
.	.	pl

Undir	undir	af
liðnum	liður	nkeþg
Mæðramorgun	mæðramorgunn	x
:	:	pa
Nú	nú	aa
er	vera	sfg3en
verið	vera	sþghen
að	að	cn
fara	fara	sng
af	af	af
stað	staður	nkeþ
með	með	af
mæðramorgna	mæðramorgunn	nkfo
og	og	c
eru	vera	sfg3fn
allar	allur	fovfn
mæður	móðir	nvfn
velkomnar	velkominn	lvfnsf
til	til	af
að	að	cn
njóta	njóta	sng
fræðslu	fræðsla	nvee
og	og	c
samskipta	samskipti	nhfe
hver	hver	foven
við	við	af
aðra	annar	foveo
.	.	pl

Við	ég	fp1fn
höfum	hafa	sfg1fn
góða	góður	lveosf
aðstöðu	aðstaða	nveo
fyrir	fyrir	af
barnavagna	barnavagn	nkfo
og	og	c
kerrur	kerra	nvfo
.	.	pl

Börnin	barn	nhfng
geta	geta	sfg3fn
sofið	sofa	sþghen
úti	úti	aa
ef	ef	c
vill	vilja	sfg3en
.	.	pl

Norðurbrún	Norðurbrún	nveþ-s
1	1	ta
.	.	pl

Kl.	kl.	ks
9-13	9-13	ta
tréskurður	tréskurður	nken
,	,	pk
Kl.	kl.	ks
9-17	9-17	ta
,	,	pk
hárgreiðsla	hárgreiðsla	nven
Kl.	kl.	ks
10-11	10-11	ta
boccia	boccia	e
.	.	pl

Vesturgata	Vesturgata	nven-s
7	7	ta
.	.	pl

Kl.	kl.	ks
9-16	9-16	ta
fótaaðgerðir	fótaaðgerð	nvfn
og	og	c
hárgreiðsla	hárgreiðsla	nven
,	,	pk
Kl.	kl.	ks
9.15	9.15	ta
handavinna	handavinna	nven
,	,	pk
Kl.	kl.	ks
13.30	13.30	ta
sungið	syngja	sþghen
við	við	af
flygilinn	flygill	nkeog
,	,	pk
Kl.	kl.	ks
14.30-16	14.30-16	ta
dansað	dansa	sþghen
við	við	af
lagaval	lagaval	nheo
Halldóru	Halldóra	nvee-s
,	,	pk
kaffiveitingar	kaffiveiting	nvfn
allir	allur	fokfn
velkomnir	velkominn	lkfnsf
.	.	pl

